code6,name,industry,market_type,research_status,dqc_score,valuation_score,dividend_score,cashflow_score,dividend_yield,pe_ttm,pb,average_payout,cash_conversion,cash_coverage,dividend_stability,dividend_cagr,risk_flag_count,factor_status,factor_coverage
603929,亚翔集成,建筑装饰,主板,普通观察,47.3128,27.5234,66.9513,44.6368,2.7749,27.9431,14.2974,0.6337,1.8673,2.9464,0.4982,0.6279,0,有效,1.0000
603073,彩蝶实业,纺织制造,主板,价值陷阱复核,47.3109,57.7155,43.2611,42.4424,0.5322,38.7089,1.3925,0.3348,1.1538,5.2030,0.5959,-0.4226,2,有效,1.0000
603020,爱普股份,化学制品,主板,普通观察,47.2744,51.0208,55.6019,35.7357,0.9862,61.3430,1.2013,0.4250,1.3776,3.2410,0.7023,0.0000,0,有效,1.0000
600218,全柴动力,汽车零部件,主板,价值陷阱复核,47.2690,55.8125,50.1106,37.1044,0.4864,62.6759,1.0416,0.3136,1.2352,3.9382,0.8639,-0.1548,2,有效,1.0000
603156,养元饮品,饮料制造,主板,普通观察,47.1917,24.4063,68.6699,45.2440,5.2174,38.0023,5.9318,1.3785,1.5508,1.0335,0.9326,-0.0333,1,有效,1.0000
301055,张小泉,家居用品,创业板,普通观察,47.1876,17.0758,53.7862,66.3993,1.5298,78.6886,7.1068,0.8499,4.0339,4.5863,0.5702,0.4354,0,有效,1.0000
002937,兴瑞科技,汽车零部件,主板,价值陷阱复核,47.1616,23.9522,63.7116,50.5054,1.2712,68.5315,4.7116,0.4461,1.6161,3.5996,0.8568,-0.1369,2,有效,1.0000
300099,尤洛卡,专用设备,创业板,普通观察,47.1610,57.3413,75.5448,10.0512,2.5498,27.0242,2.0433,0.7725,0.4611,0.6173,0.8000,0.1970,1,有效,1.0000
001337,四川黄金,贵金属,主板,普通观察,47.0854,33.2746,70.0903,35.9185,1.7947,31.0172,10.3938,0.4978,1.3850,2.9147,0.7198,0.4142,0,有效,1.0000
300739,明阳电路,元件,创业板,普通观察,47.0576,39.7346,39.2850,61.1070,0.3808,113.0569,3.6180,0.5819,3.1114,5.3466,0.6842,-0.3386,1,有效,1.0000
300861,美畅股份,通用设备,创业板,价值陷阱复核,47.0555,79.1615,59.0814,7.5102,1.2056,22.9149,1.6268,0.4944,0.6964,1.4715,0.3843,0.2941,2,有效,1.0000
600163,中闽能源,电力,主板,价值陷阱复核,47.0546,65.6295,34.7425,43.4454,0.5535,20.9803,1.4427,0.1402,1.5172,10.8185,0.4951,-0.2254,2,有效,1.0000
603006,联明股份,物流,主板,普通观察,47.0358,37.7595,65.5130,36.5097,5.3354,26.8994,2.0957,1.5329,2.1823,1.1326,0.6049,0.5811,1,有效,1.0000
300785,值得买,文化传媒,创业板,普通观察,47.0187,21.8231,52.6732,62.9604,0.4290,86.3607,3.6996,0.3964,1.5556,4.0090,0.8702,0.1588,0,有效,1.0000
688618,三旺通信,通信设备,科创板,价值陷阱复核,46.9029,30.8816,47.5552,59.9832,0.6001,166.0364,4.0114,0.4842,1.5214,3.1418,0.5934,-0.3297,2,有效,1.0000
603067,振华股份,化学原料,主板,普通观察,46.8857,30.7412,58.3045,49.3052,0.5554,40.5918,6.2807,0.2026,0.7051,3.4795,0.8781,0.1412,1,有效,1.0000
300896,爱美客,美容护理,创业板,价值陷阱复核,46.8671,42.0104,53.7472,44.1500,1.4112,24.5544,3.3983,0.4836,1.0257,2.1740,0.7486,-0.1810,2,有效,1.0000
