code6,name,final_status,growth_profile,final_score,growth_core,quality_score,balance_score,news_news_score,current_revenue_growth,current_profit_growth,revenue_acceleration,profit_acceleration,persistence_score,cash_margin,cash_to_profit,current_roe,current_net_margin,current_debt_ratio,news_news_count,news_positive_articles,news_negative_articles,news_positive_groups,news_negative_groups,low_base_flag,cash_mismatch_flag,high_debt_flag,factor_status,factor_coverage
002969,嘉美包装,加速/反转观察,反转/低基数,74.7231,80.6053,65.4768,75.5693,,9.1154,256.4859,21.1439,309.234,66.6667,0.2154,4.197,2.27,5.1326,24.4307,0,0,0,[],[],True,False,False,有效,1.0
000949,新乡化纤,加速/反转观察,反转/低基数,74.7007,86.0459,68.2695,53.5275,,22.4908,449.0482,15.8245,468.4127,66.6667,0.1787,2.3749,5.02,7.5248,46.4725,0,0,0,[],[],True,False,False,有效,1.0
601168,西部矿业,成长质量优先,持续成长,74.6245,80.2468,80.3642,46.2783,,24.7433,123.0349,1.4329,98.7767,100.0,0.2117,2.0025,20.41,16.1196,53.7217,0,0,0,[],[],False,False,False,有效,1.0
600595,中孚实业,加速/反转观察,加速成长,74.5019,86.5664,60.2858,66.7404,,34.8459,165.8435,33.4965,36.0117,83.3333,0.0711,0.5391,10.42,12.8016,33.2596,0,0,0,[],[],False,False,False,有效,1.0
600918,中泰证券,加速/反转观察,加速成长,74.4399,86.939,84.0362,17.7503,,46.2977,146.3777,28.7226,93.3062,66.6667,0.7225,3.1074,3.73,25.5476,82.2497,0,0,0,[],[],False,False,True,有效,1.0
000893,亚钾国际,观察,增速观察,74.3753,69.7121,84.0426,69.0306,,51.5333,57.9274,1.4475,-18.0472,66.6667,0.4847,1.3719,9.63,35.3653,30.9694,0,0,0,[],[],False,False,False,有效,1.0
600971,恒源煤电,加速/反转观察,反转/低基数,74.3331,87.3376,67.6858,48.6143,,44.8213,224.7899,65.471,342.6782,33.3333,0.4169,8.9011,1.36,4.9393,51.3857,0,0,0,[],[],True,False,False,有效,1.0
001258,立新能源,加速/反转观察,反转/低基数,74.2757,89.5952,75.88,25.1085,,29.7534,715.7531,20.5591,646.2133,66.6667,0.4414,3.8922,2.37,12.497,74.8915,0,0,0,[],[],True,False,True,有效,1.0
601061,中信金属,成长质量优先,持续成长,74.0935,86.5742,68.8041,47.2304,,36.5315,84.5472,26.9663,64.389,100.0,0.1147,3.7306,11.02,3.0754,52.7696,0,0,0,[],[],False,False,False,有效,1.0
601995,中金公司,加速/反转观察,加速成长,73.8723,81.0729,92.8685,14.2779,,50.4713,89.3493,16.9669,17.4149,66.6667,3.2971,7.762,7.6,42.8388,85.7221,0,0,0,[],[],False,False,True,有效,1.0
605098,行动教育,成长质量优先,持续成长,73.8039,76.3475,85.6292,42.5221,,24.4397,30.6707,20.8936,11.5508,100.0,0.5194,1.2945,16.16,40.2795,57.4779,0,0,0,[],[],False,False,False,有效,1.0
601000,唐山港,加速/反转观察,加速成长,73.6759,66.2353,76.1129,91.1239,,15.1831,13.9715,15.8923,12.9823,66.6667,0.3701,1.096,4.63,37.2888,8.8761,0,0,0,[],[],False,False,False,有效,1.0
002156,通富微电,成长质量优先,持续成长,73.5796,85.7658,74.1594,35.8615,,23.0305,316.7657,6.1148,236.906,100.0,0.1828,1.7076,10.54,11.0577,64.1385,0,0,0,[],[],True,False,False,有效,1.0
603993,洛阳钼业,加速/反转观察,加速成长,73.565,85.4646,68.577,47.842,,42.7839,86.2727,45.7624,35.9719,83.3333,0.1207,1.0112,18.29,13.6345,52.158,0,0,0,[],[],False,False,False,有效,1.0
600497,驰宏锌锗,加速/反转观察,加速成长,73.4956,74.7042,71.3957,74.0698,,30.7773,70.5835,2.8194,90.4922,50.0,0.1644,1.4303,9.4105,11.4531,25.9302,0,0,0,[],[],False,False,False,有效,1.0
